ca_collections.idno_institucion,ca_collections.preferred_labels_institucion,ca_collections.idno_fondo,ca_collections.preferred_labels_fondo,ca_collections.idno_subfondo,ca_collections.preferred_labels_subfondo,collection_type_subfondo,ca_collections.arrangement_subfondo,ca_collections.preferred_labels,ca_collections.arrangement,ca_collections.idno,ca_collections.extent_text,ca_collections.repository.repositoryName,ca_collections.scopecontent,ca_collections.accessrestrict,ca_collections.reproduction,ca_collections.note,ca_collections.repository.repositoryLocation,ca_places,ca_collections.description,ca_collections.relatedmaterial,ca_collections.unitdate.date_value,ca_collections.unitdate.dates_types
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T262,Caja 262,caja,"Archivo Histórico Rionegro, Gobierno, Caja 262",Carpeta 008,"Archivo Histórico Rionegro, Gobierno, Caja 262, Carpeta 008",CO.AHR.GOB.T262.T008,,Archivo Histórico de Rionegro,,Libre acceso,Libre reproducción,Policía | Manchado | rasgados | folios sueltos | humedad | apolillado,"AHR, Rionegro, Antioquia, Colombia",Rionegro,,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T268,Caja 268,caja,"Archivo Histórico Rionegro, Gobierno, Caja 268",Carpeta 007,"Archivo Histórico Rionegro, Gobierno, Caja 268, Carpeta 007",CO.AHR.GOB.T268.T007,,Archivo Histórico de Rionegro,,Libre acceso,Libre reproducción,Empleos. Arrugados |  manchados |  folios sueltos |  rasgados |  humedad,"AHR, Rionegro, Antioquia, Colombia",Rionegro,,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T277,Caja 277,caja,"Archivo Histórico Rionegro, Gobierno, Caja 277",Carpeta 001,"Archivo Histórico Rionegro, Gobierno, Caja 277, Carpeta 001",CO.AHR.GOB.T277.T001,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1913 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T277,Caja 277,caja,"Archivo Histórico Rionegro, Gobierno, Caja 277",Carpeta 002,"Archivo Histórico Rionegro, Gobierno, Caja 277, Carpeta 002",CO.AHR.GOB.T277.T002,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1913 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T277,Caja 277,caja,"Archivo Histórico Rionegro, Gobierno, Caja 277",Carpeta 003,"Archivo Histórico Rionegro, Gobierno, Caja 277, Carpeta 003",CO.AHR.GOB.T277.T003,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1913 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T277,Caja 277,caja,"Archivo Histórico Rionegro, Gobierno, Caja 277",Carpeta 004,"Archivo Histórico Rionegro, Gobierno, Caja 277, Carpeta 004",CO.AHR.GOB.T277.T004,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1913 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T277,Caja 277,caja,"Archivo Histórico Rionegro, Gobierno, Caja 277",Carpeta 005,"Archivo Histórico Rionegro, Gobierno, Caja 277, Carpeta 005",CO.AHR.GOB.T277.T005,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1913 - 1926,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T278,Caja 278,caja,"Archivo Histórico Rionegro, Gobierno, Caja 278",Carpeta 001,"Archivo Histórico Rionegro, Gobierno, Caja 278, carperta 001",CO.AHR.GOB.T278.T001,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1926 - 1931,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T278,Caja 278,caja,"Archivo Histórico Rionegro, Gobierno, Caja 278",Carpeta 002,"Archivo Histórico Rionegro, Gobierno, Caja 278, carperta 002",CO.AHR.GOB.T278.T002,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1926 - 1931,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T278,Caja 278,caja,"Archivo Histórico Rionegro, Gobierno, Caja 278",Carpeta 003,"Archivo Histórico Rionegro, Gobierno, Caja 278, carperta 003",CO.AHR.GOB.T278.T003,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1926 - 1931,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T278,Caja 278,caja,"Archivo Histórico Rionegro, Gobierno, Caja 278",Carpeta 004,"Archivo Histórico Rionegro, Gobierno, Caja 278, carperta 004",CO.AHR.GOB.T278.T004,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1926 - 1931,recordKeeping
CO.AHR,Archivo Histórico Rionegro,CO.AHR.GOB,Gobierno,CO.AHR.GOB.T279,Caja 279,caja,"Archivo Histórico Rionegro, Gobierno, Caja 279",Carpeta 001,"Archivo Histórico Rionegro, Gobierno, Caja 279, Carpeta 001",CO.AHR.GOB.T279.T001,,Archivo Histórico de Rionegro,Querellas,Libre acceso,Libre reproducción,Buen estado |  deterioro de acuerdo al paso del tiempo,"AHR, Rionegro, Antioquia, Colombia",Rionegro,Querellas,Indices Ernesto Tobón | Formato Único de Inventario Documental | Base de datos Archivo Histórico de Rionegro,1887 - 1936,recordKeeping
